,Total,Rd2,S16,E8,FF,C,W
brackets2018\formula3_2018_74.csv,760,260,180,160,160,0,0
brackets2018\formula3_2018_75.csv,970,250,200,200,160,160,0
brackets2018\formula3_2018_76.csv,940,240,180,200,160,160,0
brackets2018\formula3_2018_77.csv,600,220,220,80,80,0,0
brackets2018\formula3_2018_78.csv,810,250,240,160,160,0,0
brackets2018\formula3_2018_79.csv,1150,270,200,120,80,160,320
brackets2018\formula3_2018_80.csv,490,250,120,120,0,0,0
brackets2018\formula3_2018_81.csv,750,270,160,80,80,160,0
brackets2018\formula3_2018_82.csv,640,220,140,120,160,0,0
brackets2018\formula3_2018_83.csv,930,270,180,160,160,160,0
brackets2018\formula3_2018_84.csv,570,270,220,80,0,0,0
brackets2018\formula3_2018_85.csv,450,250,120,80,0,0,0
brackets2018\formula3_2018_86.csv,500,220,200,80,0,0,0
brackets2018\formula3_2018_87.csv,650,210,240,200,0,0,0
brackets2018\formula3_2018_88.csv,690,290,160,160,80,0,0
brackets2018\formula3_2018_89.csv,580,240,140,120,80,0,0
brackets2018\formula3_2018_90.csv,590,250,220,120,0,0,0
brackets2018\formula3_2018_91.csv,950,270,240,120,160,160,0
brackets2018\formula3_2018_92.csv,1170,250,200,160,80,160,320
brackets2018\formula3_2018_93.csv,610,250,160,200,0,0,0
brackets2018\formula3_2018_94.csv,850,230,180,120,160,160,0
brackets2018\formula3_2018_95.csv,760,240,160,120,80,160,0
brackets2018\formula3_2018_96.csv,680,240,200,160,80,0,0
brackets2018\formula3_2018_97.csv,580,280,180,120,0,0,0
brackets2018\formula3_2018_98.csv,600,260,140,120,80,0,0
brackets2018\formula3_2018_99.csv,790,230,160,160,240,0,0
brackets2018\formula3_2018_100.csv,910,250,140,200,160,160,0
