team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,blend,avg,odds,blended,rpiavg,rpisor
Ohio State,Big 10,12.03569497,0.5496,-5.17028,1.658555556,-17,42,78,52,60,35,54.375,53.4,44.86,0.018390805,0.010292135,0.010369811
St. Mary's,WCC,12.0581598,0.5856,-5.61988,-1.060777778,-6,41,33,55,51,59,48.1,47.8,35.29,0.020790021,0.012251046,0.010457143
Murray State,OVC,9.599322947,0.5847,-2.0428,0.408111111,14,58,35,25,43,49,41.95,42,27.31,0.023837902,0.013921429,0.022488462
Oregon,Pac 12,11.33812131,0.5676,-7.38308,-1.646888889,-14,46,51,84,57,64,60.175,60.4,26.63,0.016618197,0.009397351,0.006677647
Belmont,OVC,9.929409657,0.5821,-2.586,0.312111111,21,56,37,30,41,51,42.45,43,25.95,0.023557126,0.013537209,0.018777419
Florida,SEC,13.94730008,0.5509,-6.49144,0.419666667,-67.528,31,76,69,86,48,65.35,62,15.01,0.015302219,0.008885484,0.00787
UC Irvine,Big West,6.529939633,0.5613,-2.9688,0.139222222,-7,84,59,35,53,53,56.5,56.8,4.72,0.017699115,0.009882042,0.015591667
Liberty,A-Sun,5.853684582,0.5535,-4.08792,-1.228222222,-6,93,69,43,52,60,61.95,63.4,2.27,0.01614205,0.008730284,0.012579545
Vermont,Am. East,5.939852596,0.5662,-3.837,-1.340111111,-42,90,53,39,71,62,64.575,63,1.59,0.015485869,0.008987302,0.014155
Yale,Ivy,6.273958829,0.5775,-4.8582,-2.161333333,-48.806,88,39,49,74,71,66.175,64.2,1.27,0.015111447,0.008995327,0.01155
Northeastern,CAA,5.510252193,0.5765,-7.25928,-3.585,-93,99,40,82,102,88,86.35,82.2,0.08,0.011580776,0.007013382,0.006945783
Georgia State,Sunbelt,3.591946883,0.5672,-6.93404,-3.064888889,-80.922,123,52,79,96,83,89.775,86.6,0.05,0.011138959,0.006549654,0.00709
Old Dominion,C-USA,3.521357412,0.5553,-6.35808,-3.100111111,-83.056,124,66,67,99,84,90.775,88,0.04,0.011016249,0.006310227,0.008166176
Northern Kentucky,Horizon,4.876418155,0.5413,-6.22152,-3.579666667,-90,108,89,64,101,87,91.45,89.8,0.04,0.010934937,0.00602784,0.008327692
St. Louis,A-10,4.672682436,0.5371,-8.8212,-4.322888889,-79.568,113,101,103,94,102,101.65,102.6,0.01,0.009837678,0.005234893,0.005164423
Montana,Big Sky,2.368355765,0.5536,-6.62916,-4.308777778,-117.851,140,67,71,119,101,103.55,99.6,0.01,0.00965717,0.005558233,0.007688889
Abilene Christian,Southland,-0.04035861,0.5306,-4.80216,-3.387222222,-107.353,160,112,48,110,85,104.775,103,0.01,0.009544262,0.005151456,0.010828571
Colgate,Patriot,2.56803699,0.5483,-8.0838,-5.364888889,-153,137,81,92,143,121,119.55,114.8,0,0.008364701,0.004776132,0.005895699
Gardner-Webb,Big South,-1.052949108,0.5205,-8.692,-5.887222222,-128,174,129,100,125,129,130.9,131.4,0,0.007639419,0.003961187,0.005153465
Prairie View,SWAC,-4.807438583,0.5079,-10.7444,-8.364333333,-159.068,234,151,142,148,165,166.575,168,0,0.006003302,0.003023214,0.003551748
Bradley,MVC,-0.274583945,0.5008,-12.16968,-9.005666667,-219,163,165,175,189,175,175.65,173.4,0,0.00569314,0.00288812,0.002845455
North Dakota State,Summit,-3.03147243,0.5023,-11.87776,-9.080666667,-230.256,205,162,166,193,180,183.725,181.2,0,0.005442917,0.002772075,0.003007784
Fairleigh Dickinson,NEC,-3.982822254,0.4971,-11.93728,-10.19833333,-301,227,171,168,235,199,205.9,200,0,0.004856727,0.0024855,0.00294142
Iona,MAAC,-3.096209491,0.4889,-13.5904,-11.45644444,-332,207,188,203,252,217,219.225,213.4,0,0.004561524,0.002291003,0.002396569
NC Central,MEAC,-9.483708329,0.444,-13.491,-11.66322222,-313,302,275,200,243,220,248.125,248,0,0.004030227,0.001790323,0.002208955
